Actor,Birthday
Harrison Ford,1942-07-13
Tom Hanks,1956-07-09
Eddie Murphy,1961-04-03
Samuel L. Jackson,1948-12-21
Morgan Freeman,1937-06-01
Tom Cruise,1962-07-03
Robin Williams,1951-07-21
Dustin Hoffman,1937-08-08
Bruce Willis,1955-03-19
Sean Connery,1930-08-25
Robert DeNiro,1943-08-17
Clint Eastwood,1930-05-31
John Travolta,1954-02-18
Michael Caine,1933-03-14
"Robert Downey, Jr.",1965-04-04
Julia Roberts,1967-10-28
Robert Redford,1936-08-18
Johnny Depp,1963-06-09
Sally Field,1946-11-06
Cameron Diaz,1972-08-30
Tommy Lee Jones,1946-09-15
Sylvester Stallone,1946-07-06
Will Smith,1968-09-25
Robert Duvall,1931-01-05
Ian McKellen,1939-05-25
Liam Neeson,1952-06-07
Jim Carrey,1962-01-17
Gary Oldman,1958-03-21
Mel Gibson,1956-01-03
Jack Nicholson,1937-04-22
Stellan Skarsgard,1951-06-13
Matt Damon,1970-10-08
Danny DeVito,1944-11-17
Carrie Fisher,1956-10-21
Brad Pitt,1963-12-18
Orlando Bloom,1977-01-13
Sigourney Weaver,1949-10-08
Ben Stiller,1965-11-30
Nicolas Cage,1964-01-07
Arnold Schwarzenegger,1947-07-30
Mark Hamill,1951-09-25
Cate Blanchett,1969-05-14
Kathy Bates,1948-06-28
Meryl Streep,1949-06-22
Al Pacino,1940-04-25
Bill Murray,1950-09-21
Denzel Washington,1954-12-28
Emma Watson,1990-04-15
Stanley Tucci,1960-11-11
Antonio Banderas,1960-08-10
Helena Bonham Carter,1966-05-26
Adam Sandler,1966-09-09
Leonardo DiCaprio,1974-11-11
Paul Newman,1925-01-26
Anthony Hopkins,1937-12-31
Kevin Costner,1955-01-18
Owen Wilson,1968-11-18
Mike Myers,1963-05-25
Woody Harrelson,1961-07-23
Steve Martin,1945-08-14
Don Cheadle,1964-11-29
Daniel Radcliffe,1989-07-23
Keanu Reeves,1964-09-02
Ralph Fiennes,1962-12-22
Philip Seymour Hoffman,1967-07-23
Sandra Bullock,1964-07-26
Drew Barrymore,1975-02-22
Jon Voight,1938-12-29
Diane Keaton,1946-01-05
Rupert Grint,1988-08-24
Alec Baldwin,1958-04-03
Michael Douglas,1944-09-25
Mark Wahlberg,1971-06-05
Ed Harris,1950-11-28
Ewan McGregor,1971-03-31
Michael Keaton,1951-09-05
Scarlett Johansson,1984-11-22
Elijah Wood,1981-01-28
Hugh Jackman,1968-10-12
Christopher Walken,1943-03-31
Natalie Portman,1981-06-09
Bradley Cooper,1975-01-05
Elizabeth Banks,1974-02-10
Susan Sarandon,1946-10-04
Dennis Quaid,1954-04-09
Jonah Hill,1983-12-20
Steve Carell,1962-08-16
Jeff Bridges,1949-12-04
Halle Berry,1966-08-14
George Clooney,1961-05-06
Ben Affleck,1972-08-15
Julie Andrews,1935-10-01
Richard Gere,1949-08-31
Vin Diesel,1967-07-18
Kirsten Dunst,1982-04-30
Christian Bale,1974-01-30
James Franco,1978-04-19
Tim Allen,1953-06-13
Danny Glover,1946-07-22
Anne Hathaway,1982-11-12
Angelina Jolie,1975-06-04
Barbra Streisand,1942-04-24
Tyrese Gibson,1978-12-30
Michelle Pfeiffer,1958-04-29
Shia LaBeouf,1986-06-11
Laurence Fishburne,1961-07-30
Kevin Bacon,1958-07-08
Nicole Kidman,1967-06-20
Willem Dafoe,1955-07-22
Julianne Moore,1960-12-03
Will Ferrell,1967-07-16
Forest Whitaker,1961-07-15
Judi Dench,1934-12-09
Jamie Foxx,1967-12-13
Jada Pinkett-Smith,1971-09-18
Gwyneth Paltrow,1972-09-27
Michelle Rodriguez,1978-07-12
The Rock,1972-05-02
Glenn Close,1947-03-19
Queen Latifah,1970-03-18
Brendan Gleeson,1955-03-29
Brian Cox, 1946-06-01
Rene Russo,1954-02-17
Vince Vaughn,1970-03-28
Kurt Russell,1951-03-17
Paul Giamatti,1967-06-06
Pierce Brosnan,1953-05-16
John Leguizamo,1964-07-22
James Marsden,1973-09-18
Zoe Saldana,1978-06-19
Viggo Mortensen,1958-10-20
Giovanni Ribisi,1974-12-17
Liv Tyler,1977-07-01
Chris Evans, 1981-06-13
Ben Kingsley,1943-12-31
Meg Ryan,1961-11-19
Ian Holm,1931-09-12
Alan Rickman,1946-02-21
Kevin Spacey,1959-07-26
Jonathan Pryce,1947-06-01
Karl Urban,1972-06-07
Billy Crystal,1948-03-14
Russell Crowe,1964-04-07
Seth Rogen,1982-04-15
Cary Elwes,1962-10-26
Chris Cooper,1951-07-09
"Cuba Gooding, Jr.",1968-01-02
John Malkovich,1953-12-09
Chris Rock,1965-02-07
Kate Winslet,1975-10-05
Matthew McConaughey,1969-11-04
Tobey Maguire,1975-06-27
Jeremy Renner,1971-01-07
Sean Bean,1959-04-17
Kristen Stewart,1990-04-09
Mark Ruffalo,1967-11-22
Jude Law,1972-12-29
Jackie Chan,1954-04-07
Demi Moore,1962-11-11
Paul Walker,1973-09-12
Geoffrey Rush,1951-07-06
Famke Janssen,1964-11-05
Channing Tatum,1980-04-26
Robert Pattinson,1986-05-13
Josh Hutcherson,1992-10-12
Jennifer Lawrence,1990-08-15
Amy Adams,1974-08-20
Martin Lawrence,1965-04-16
Val Kilmer,1959-12-31
Keira Knightley,1985-03-26
Randy Quaid,1950-10-01
Marlon Brando,1924-04-03
Bonnie Hunt,1961-09-22
Billy Burke, 1966-11-25
Diane Lane,1965-01-22
Idris Elba,1972-09-06
Jodie Foster,1962-11-19
William H. Macy,1950-03-13
Jeffrey Wright, 1965-12-07
Kiefer Sutherland,1966-12-21
Jennifer Aniston,1969-02-11
Chris Hemsworth,1983-08-11
Craig T. Nelson,1944-04-04
Ice Cube,1969-06-15
Patrick Stewart,1940-07-13
Leslie Mann,1972-03-26
Kim Basinger,1953-12-08
Justin Long,1978-06-02
Charlie Sheen,1965-09-03
Wesley Snipes,1962-07-31
Catherine Zeta-Jones,1969-09-25
Michael Clarke Duncan,1957-12-10
Joseph Gordon-Levitt,1981-02-17
Cedric the Entertainer,1964-04-24
Terrence Howard,1969-03-11
Jack Black,1969-08-28
Clark Gregg,1962-04-02
Anna Faris,1976-11-29
Jason Bateman,1969-01-14
Dakota Fanning,1994-02-23
Renee Zellweger,1969-04-25
John Cusack,1966-06-28
Anne Bancroft,1931-09-17
Kevin Kline,1947-10-24
Matthew Broderick,1962-03-21
Helen Mirren,1945-07-26
Helen Hunt,1963-06-15
Reese Witherspoon,1976-03-22
Greg Kinnear,1963-06-17
Michael Sheen,1969-02-05
Charlize Theron,1975-08-07
Jennifer Lopez,1969-07-24
Daniel Craig,1968-03-02
Brendan Fraser,1968-12-03
Kellan Lutz,1985-03-15
Taylor Lautner,1992-02-11
Frances McDormand,1957-06-23
Rachel Weisz,1970-03-07
Aaron Eckhart,1968-03-12
Alfred Molina,1953-05-24
Paul Bettany,1971-05-27
Jon Favreau,1966-10-19
Tom Wilkinson,1948-02-05
Steve Coogan,1965-10-14
Sarah Jessica Parker,1965-03-25
Jack Davenport,1973-03-01
Rachel McAdams,1978-11-17
Kristen Wiig,1973-08-22
Joaquin Phoenix,1974-10-28
Marisa Tomei,1964-12-04
Gerard Butler,1969-11-13
Winona Ryder,1971-10-29
Naomie Harris,1976-09-06
Liev Schreiber,1967-10-04
Josh Duhamel,1972-11-14
Emma Stone,1988-11-06
Ashley Greene,1987-02-21
Chris Pratt,1979-06-21
Ashley Judd,1968-04-19
Sacha Baron Cohen,1971-10-13
Seth Green,1974-02-08
Anthony Mackie,1978-09-23
Paul Rudd,1969-04-06
Liam Hemsworth,1990-01-13
Zach Galifianakis,1969-10-01
Jason Statham,1967-07-26
Colin Firth,1960-09-10
Macaulay Culkin,1980-08-26
Guy Pearce,1967-10-05
Ryan Reynolds,1976-10-23
Matt Dillon,1964-02-18
Billy Bob Thornton,1955-08-04
Bette Midler,1945-12-01
Chris O'Donnell,1970-06-26
Simon Pegg,1970-02-14
Chris 'Ludacris' Bridges,
Jackson Rathbone,1984-12-14
Jim Broadbent,1949-05-24
Sharon Stone,1958-03-10
Tim Robbins,1958-10-16
Colin Farrell,1976-05-31
Emma Thompson,1959-04-15
Abigail Breslin,1996-04-14
Sam Rockwell,1968-11-05
Hugh Grant,1960-09-09
Bernie Mac,1957-10-05
Rose Byrne,1979-07-24
Kate Beckinsale,1973-07-26
Justin Bartha,1978-07-21
Holly Hunter,1958-03-20
Sam Worthington,1976-08-02
Isla Fisher,1976-02-03
Anna Paquin,1982-07-24
Kevin James,1965-04-26
Josh Brolin,1968-02-12
Edward Norton,1969-08-18
Jennifer Connelly,1970-12-12
Joan Allen,1956-08-20
Sean Penn,1960-08-17
Christopher Reeve,1952-09-25
Toni Collette,1972-11-01
Eric Bana,1968-08-09
Uma Thurman,1970-04-29
Rob Schneider,1963-10-31
Christina Ricci,1980-02-12
Thomas Haden Church,1960-06-17
Heath Ledger,1979-04-04
Chris Pine,1980-08-26
Mark Strong,1963-08-05
Carrie-Anne Moss,1967-08-21
Patrick Swayze,1952-08-18
Hugh Laurie,1959-06-11
Benedict Cumberbatch,1976-07-19
Leslie Nielsen,1926-02-11
Jay Baruchel,1982-04-09
Ashton Kutcher,1978-02-07
Tom Hiddleston,1981-02-09
Chris Tucker,1971-08-31
Lucy Liu,1968-12-02
Thandie Newton,1972-11-06
Maggie Gyllenhaal,1977-11-16
Alan Alda,1936-01-28
Angela Bassett,1958-08-16
Tom Hardy,1977-09-15
Woody Allen,1935-12-01
Nia Long,1970-10-30
Jena Malone,1984-11-21
Tilda Swinton,1960-11-05
Ray Stevenson, 1964-05-25
Laura Linney,1964-02-05
Megan Fox,1986-05-16
Rosario Dawson,1979-05-09
Hayden Christensen,1981-04-19
Julia Stiles,1981-03-28
Albert Brooks,1947-07-22
Sam Elliott,1944-08-09
Johnny Knoxville,1971-03-11
Mickey Rourke,1952-09-16
Rob Lowe,1964-03-17
Maria Bello,1967-04-18
Eva Mendes,1974-03-05
Russell Brand,1975-06-04
Ed Helms,1974-01-24
Amanda Peet,1972-01-11
Monica Bellucci,1964-09-30
Tea Leoni,1966-02-25
Jennifer Garner,1972-04-17
Jet Li,1963-04-26
Jessica Alba,1981-04-28
Marlon Wayans,1972-07-23
Ethan Hawke,1970-11-06
Mila Kunis,1983-08-14
Josh Lucas,1971-06-20
Matthew Lillard,1970-01-24
Naomi Watts,1968-09-28
Jared Harris,1961-08-24
Michael Fassbender,1977-04-02
Taraji P. Henson,1970-09-11
Christopher Mintz-Plasse,1989-06-20
Jason Segel,1980-01-18
Viola Davis,1965-08-11
Lance Henriksen,1940-05-05
Lenny Kravitz,1964-05-26
Frank Langella,1938-01-01
Annette Bening,1958-05-29
Regina Hall,1970-12-12
Joel David Moore,1977-09-25
Christina Applegate,1971-11-25
Zooey Deschanel,1980-01-17
Casey Affleck,1975-08-12
Brittany Murphy,1977-11-10
James Caviezel,1968-09-26
Sydney Pollack,1934-07-01
Lily Tomlin,1939-09-01
Josh Hartnett,1978-07-21
Emily Blunt,1983-02-23
Tyler Perry,1969-09-13
Jake Gyllenhaal,1980-12-19
Penelope Cruz,1974-04-28
Amanda Seyfried,1985-12-03
Sarah Michelle Gellar,1977-04-14
Melissa McCarthy,1970-08-26
Rebecca Romijn,1972-11-06
Courteney Cox,1964-06-15
Jessica Biel,1982-03-03
Katherine Heigl,1978-11-24
Neil Patrick Harris,1973-06-15
Kenneth Branagh,1960-12-10
Kevin Hart,1979-07-06
Aaron Johnson,1990-06-13
Nick Swardson,1976-10-09
Bryan Cranston,1956-03-07
Common, 1972-03-13
Benjamin Bratt,1963-12-16
Zac Efron,1987-10-18
Topher Grace,1978-07-12
Jesse Eisenberg,1983-10-05
Timothy Olyphant,1968-05-20
James Garner,1928-04-07
Jessica Chastain,1977-03-24
Claire Danes,1979-04-12
Luke Wilson,1971-09-21
David Schwimmer,1966-11-02
Parker Posey,1968-11-08
James McAvoy,1979-04-21
James Gandolfini,1961-09-18
Lucas Black,1982-11-29
Billy Crudup,1968-07-08
Rosamund Pike,1979-01-27
Jackie Earle Haley,1961-07-14
Cillian Murphy,1976-05-25
"Freddie Prinze, Jr.",1976-03-08
Bridget Moynahan,
Daniel Day-Lewis,1957-04-29
Jason Sudeikis,1975-09-18
Beyonce Knowles,1981-09-04
Kristen Bell,1980-07-18
Adrien Brody,1973-04-14
Ali Larter,1976-02-28
Ioan Gruffudd,1973-10-06
Rhys Ifans,1967-07-22
Nicholas Hoult,1989-12-07
Vera Farmiga,1973-08-06
Chloe Moretz,1997-02-10
Michelle Williams, 1980-09-09
Ellen Page,1987-02-21
Imelda Staunton,1956-01-09
Piper Perabo,1976-10-31
Kat Dennings,1986-06-13
Jake Johnson,1978-05-28
Kate Hudson,1979-04-19
Zachary Levi,1980-09-29
Patrick Wilson, 1973-07-03
David Spade,1964-07-22
Katharine Hepburn,1907-05-12
Cher,1946-05-20
Katie Holmes,1978-12-18
Peter Sarsgaard,1971-03-07
Neve Campbell,1973-10-03
Kelsey Grammer,1955-02-21
Josh Gad,1981-02-23
Anna Kendrick,1985-08-09
Milla Jovovich,1975-12-17
Michelle Monaghan,1976-03-23
Zhang Ziyi,1979-02-09
Chris Klein, 1979-03-14
Madonna, 1958-08-16
John Corbett,1961-05-09
Rob Riggle,1970-04-21
Kate Bosworth,1983-01-02
Tom Arnold, 1959-03-06
Michael Ealy,1973-08-03
Christoph Waltz,1956-10-04
Lindsay Lohan,1986-07-02
Derek Luke,1974-04-24
Lena Headey,1973-10-03
Melissa Leo,1960-09-14
Rebecca Hall,1982-05-03
Paul Dano,1984-06-19
Clive Owen,1964-10-03
Breckin Meyer,1974-05-07
Garrett Hedlund,1984-09-03
Jai Courtney,1986-03-15
Ron Howard,1954-03-01
Jamie Bell,1986-03-14
Virginia Madsen,1961-09-11
Mike Vogel,1979-07-17
Omar Epps,1973-07-20
Paula Patton,1975-12-05
America Ferrera,1984-04-18
Rufus Sewell,1967-10-29
Andrew Garfield,1983-08-20
Evangeline Lilly,1979-08-03
Lisa Kudrow,1963-07-30
Jennifer Coolidge,1961-06-01
Taylor Kitsch,1981-04-08
Gena Rowlands,1930-06-19
Ellen DeGeneres,1958-01-26
Jamie Chung,1983-04-10
Alicia Silverstone,1976-10-04
Tina Fey,1970-05-18
Sharlto Copley,1973-11-27
Joey King,1999-07-30
Danny McBride,1976-12-29
Radha Mitchell,1973-11-12
Olivia Wilde,1984-03-10
Charlie Day,1976-02-09
Hilary Swank,1974-07-30
Ryan Phillippe,1974-09-10
Javier Bardem,1969-03-01
Eva Green,1980-07-06
Alice Eve,1982-02-06
Adam Scott, 1973-04-03
Gemma Arterton,1986-02-02
Dominic Cooper,1978-06-02
Denise Richards,1971-02-17
Shawn Wayans,1971-01-19
Michael Cera,1988-06-07
Amanda Bynes,1986-04-03
Justin Timberlake,1981-01-31
Larry the Cable Guy,1963-02-17
Jaden Smith,1998-07-08
Hilary Duff,1987-09-28
Logan Lerman,1992-01-19
Henry Cavill,1983-05-05
David Oyelowo,1976-04-01
Jason Schwartzman,1980-06-26
Rosie Huntington-Whiteley,1987-04-18
Kal Penn,1977-04-23
