Actor,Occupation
Harrison Ford,"


Actor
producer


"
Tom Hanks,"Actor, filmmaker"
Eddie Murphy,None
Samuel L. Jackson,"Actor, film producer"
Morgan Freeman,"Actor, director"
Tom Cruise,"Actor, filmmaker"
Robin Williams,"Actor, comedian"
Dustin Hoffman,"Actor, film director"
Bruce Willis,"Actor, producer, writer, musician, singer"
Sean Connery,Actor
Robert DeNiro,"Actor, producer"
Clint Eastwood,"Actor, film director, film producer, composer, musician, businessman, politician"
John Travolta,"Actor, producer, writer, singer, dancer, pilot"
Michael Caine,"Actor, author"
"Robert Downey, Jr.",Actor
Julia Roberts,"Actress, executive producer"
Robert Redford,"Actor, director, producer, businessman, environmentalist, philanthropist"
Johnny Depp,"Actor, producer, musician"
Sally Field,"Actress, director"
Cameron Diaz,"Actress, model, producer, director"
Tommy Lee Jones,"Actor, director, producer, screenwriter"
Sylvester Stallone,"Actor, screenwriter, film director, boxing promoter"
Will Smith,"Actor, producer, rapper, songwriter"
Robert Duvall,"Actor, director"
Ian McKellen,Actor
Liam Neeson,Actor
Jim Carrey,"Actor, Stand-Up Comedian, Screenwriter, Producer"
Gary Oldman,"Actor, filmmaker, musician"
Mel Gibson,"Actor, filmmaker"
Jack Nicholson,"Actor, filmmaker"
Stellan Skarsgard,Actor
Matt Damon,"Actor, Producer, Screenwriter, Philanthropist"
Danny DeVito,"Actor, producer, director"
Carrie Fisher,"Actress, novelist, screenwriter, performance artist"
Brad Pitt,"Actor, producer"
Orlando Bloom,Actor
Sigourney Weaver,Actress
Ben Stiller,"Actor, comedian, filmmaker"
Nicolas Cage,"Actor, producer"
Arnold Schwarzenegger,Bodybuilder
Mark Hamill,"Actor, voice actor, writer, producer, director"
Cate Blanchett,"


Actress
theater producer


"
Kathy Bates,"


Actress
director
producer


"
Meryl Streep,"Actress, voice actress, singer, film producer, spokesperson"
Al Pacino,"Actor, filmmaker"
Bill Murray,"Actor, comedian, writer"
Denzel Washington,"Actor, filmmaker"
Emma Watson,"


Actress
model
activist


"
Stanley Tucci,"Actor, writer, producer, director"
Antonio Banderas,"Actor, director, producer"
Helena Bonham Carter,Actress
Adam Sandler,"


Actor
comedian
screenwriter
entrepreneur
film producer
musician


"
Leonardo DiCaprio,"


Actor
film producer


"
Paul Newman,"Actor, director, entrepreneur, professional racing driver, philanthropist"
Anthony Hopkins,"Actor, composer"
Kevin Costner,"Actor, producer, director, singer"
Owen Wilson,"Actor, voice-over artist, writer, producer, screenwriter"
Mike Myers,"Actor, Comedian, Writer, Film producer, Film director"
Woody Harrelson,"Actor, playwright, director"
Steve Martin,None
Don Cheadle,"Actor, producer, author"
Daniel Radcliffe,Actor
Keanu Reeves,"Actor, director, producer"
Ralph Fiennes,"Actor, director, producer"
Philip Seymour Hoffman,"Actor, producer, director"
Sandra Bullock,"Actress, film producer"
Drew Barrymore,"


Actress
Author
Producer
Director
Model


"
Jon Voight,Actor
Diane Keaton,"Actress, director, producer, writer"
Rupert Grint,Actor
Alec Baldwin,"Actor, comedian, producer"
Michael Douglas,"Actor, producer"
Mark Wahlberg,"Actor, producer, model, rapper"
Ed Harris,"Actor, director, screenwriter"
Ewan McGregor,Actor
Michael Keaton,"


Actor
comedian
director
producer


"
Scarlett Johansson,"Actress, singer, model"
Elijah Wood,"Actor, film producer"
Hugh Jackman,"Actor, producer"
Christopher Walken,"Actor, Singer"
Natalie Portman,"


Actress
producer
director


"
Bradley Cooper,"Actor, producer"
Elizabeth Banks,"Actress, producer, director"
Susan Sarandon,Actress
Dennis Quaid,Actor
Jonah Hill,"


Actor
filmmaker
comedian


"
Steve Carell,"Actor, comedian, director, producer, writer"
Jeff Bridges,"Actor, singer, producer, composer"
Halle Berry,"Actress, former model"
George Clooney,"Actor, film director, producer and writer"
Ben Affleck,"Actor, filmmaker"
